id,name,author,date_created,medium_owned,medium_read,status,date_read,rating,genre,list,review
1,Poor Economics,Abhijit V. Banerjee,2011,PhysicalBook,PhysicalBook,read,2021-04-29 00:00:00,5,BookNonFiction,educational;DCU;GiveAway,
2,Permutation City,Greg Egan,1994,EBook;PhysicalBook,PhysicalBook,read,2023-03-14 00:00:00,5,BookFiction;BookSciFi,,"Permutation City is the book about multiverses, cyberspaces, and post-AI consciousness - all rolled into a physics and mathematical construct. The sheer scope of imagination here is immense - and that's what makes this a pleasure to read. I like hard sci-fi that also manages to push the boundaries of several things at once - and Greg Egan is an interesting person to read about this. I'm compelled to buy all his books and read through them."
3,Secrets of a Devon Wood: My Nature Journal,Jo Brown,2020,PhysicalBook,PhysicalBook,read,2014-10-26 00:00:00,5,BookNonFiction,visually-stunning,Delightful illustrations. Worth being a collectible.
4,Unauthorized Bread,Cory Doctorow,2019,,,to-read,,,BookFiction,,
5,Blindsight,Peter Watts,2006,EBook,EBook,read,2020-10-10 00:00:00,5,BookFiction;BookSciFi,scifi;aliens,
6,The Master and Margarita,Mikhail Bulgakov,1967,EBook,EBook,read,2020-10-04 00:00:00,3,BookFiction,classics,
7,Outgrowing God: A Beginner’s Guide,Richard Dawkins,2019,EBook,EBook,read,2023-01-19 00:00:00,4,BookNonFiction,,"A concise set of notes that really acts like an introduction on how to structure the mind in a logical and argument driven framework for understanding and escaping the dogma of religion. As I found later, much of it is a summarisation of The God Delusion - itself a much better explained and explored work."
8,Psychology: A Complete Introduction,Sandi Mann,2016,EBook,,to-read,,,BookNonFiction,,
9,Antkind,Charlie Kaufman,2020,PhysicalBook,PhysicalBook,read,2022-06-05 09:00:00,3,BookFiction,DCU;GiveAway,"This is Kaufman, but 700 pages long."
10,The Raven Tower,Ann Leckie,2019,PhysicalBook,PhysicalBook,read,2020-11-04 00:00:00,4,BookFiction;BookSciFi,best-fantasy,
11,Provenance,Ann Leckie,2017,PhysicalBook,PhysicalBook,read,2020-10-22 00:00:00,3,BookFiction;BookSciFi,,
