Year,Author,Novel,Publisher,Ref.
1987,Margaret Atwood*,The Handmaid's Tale,McClelland & Stewart,
1987,Bob Shaw,The Ragged Astronauts,Victor Gollancz Ltd,
1987,Greg Bear,Eon,Victor Gollancz Ltd,
1987,Samuel R. Delany,Stars in My Pocket Like Grains of Sand,Grafton,
1987,Gwyneth Jones,Escape Plans,Allen & Unwin,
1987,Kim Stanley Robinson,The Memory of Whiteness,Futura/Macdonald,
1987,Josephine Saxton,Queen of the States,The Women's Press,
1987,Lucius Shepard,Green Eyes,Chatto & Windus,
1988,George Turner*,The Sea and Summer,Faber and Faber,
1988,Stanisław Lem,Fiasco,André Deutsch Publishing,
1988,Michael Bishop,Ancient of Days,Grafton,
1988,John Crowley,Aegypt,Victor Gollancz Ltd,
1988,Ken Grimwood,Replay,Grafton,
1988,Keith Roberts,Gráinne,Kerosina Books,
1988,H. F. Saint,Memoirs of an Invisible Man,Viking UK,
1989,Rachel Pollack*,Unquenchable Fire,Century Publishing,
1989,Brian Stableford,Empire of Fear,Simon & Schuster UK,
1989,Michael Bishop,"Philip K. Dick is Dead, Alas",Grafton,
1989,Richard Grant,Rumours of Spring,Bantam UK,
1989,Gwyneth Jones,Kairos,Unwin Hyman,
1989,Lucius Shepard,Life During Wartime,Grafton,
1989,Ian Watson,Whores of Babylon,Grafton,
1990,Geoff Ryman*,The Child Garden,Unwin Hyman,
1990,Jonathan Carroll,A Child Across the Sky,Century Publishing,
1990,Lisa Goldstein,A Mask for the General,Arrow Books,
1990,Ian McDonald,Desolation Road,Bantam UK,
1990,Paul Park,Soldiers of Paradise,Grafton,
1990,Mike Resnick,Ivory,Century Publishing,
1990,David Zindell,Neverness,Grafton,
1991,Colin Greenland*,Take Back Plenty,Unwin Hyman,
1991,Mary Gentle,Rats and Gargoyles,Bantam UK,
1991,Iain M. Banks,Use of Weapons,Macdonald Publishing,
1991,Misha Nogha,"Red Spider, White Web",Morrigan Publications,
1991,K. W. Jeter,Farewell Horizontal,Grafton,
1991,Pat Murphy,"The City, Not Long After",Pan Books,
1992,Pat Cadigan*,Synners,HarperCollins,
1992,Paul J. McAuley,Eternal Light,Victor Gollancz Ltd,
1992,Stephen Baxter,Raft,Grafton,
1992,Gwyneth Jones,White Queen,Victor Gollancz Ltd,
1992,Richard Paul Russo,Subterranean Gallery,Grafton,
1992,Dan Simmons,The Hyperion Cantos,Headline Publishing Group,
1993,Marge Piercy*,Body of Glass,Michael Joseph,
1993,Kim Stanley Robinson,Red Mars,HarperCollins UK,
1993,Ian McDonald,"Hearts, Hands and Voices",Victor Gollancz Ltd,
1993,Richard Paul Russo,Destroying Angel,Headline Publishing Group,
1993,Michael Swanwick,Stations of the Tide,Legend Publishing,
1993,Sue Thomas,Correspondence,The Women's Press,
1993,Lisa Tuttle,Lost Futures,Grafton,
1993,Connie Willis,Doomsday Book,New English Library,
1994,Jeff Noon*,Vurt,Ringpull,
1994,John Barnes,A Million Open Doors,Millennium,
1994,Nicola Griffith,Ammonite,Grafton,
1994,Neal Stephenson,Snow Crash,Roc UK,
1994,Michael Swanwick,The Iron Dragon's Daughter,Millennium,
1994,David Zindell,The Broken God,HarperCollins UK,
1995,Pat Cadigan*,Fools,HarperCollins UK,
