Year,Author,Novel,Publisher or publication,Ref.
1965,Frank Herbert*,Dune,Chilton Company,
1965,Clifford D. Simak,All Flesh is Grass,Doubleday,
1965,Theodore L. Thomas,The Clone,Berkley Books,
1965,Kate Wilhelm,The Clone,Berkley Books,
1965,Philip K. Dick,"Dr. Bloodmoney, or How We Got Along After the Bomb",Ace Books,
1965,James White,The Escape Orbit,Ace Books,
1965,Thomas M. Disch,The Genocides,Berkley Books,
1965,William S. Burroughs,Nova Express,Grove Press,
1965,Keith Laumer,A Plague of Demons,Berkley Books,
1965,Avram Davidson,Rogue Dragon,Ace Books,
1965,G. C. Edmondson,The Ship That Sailed the Time Stream,Ace Books,
1965,Poul Anderson,The Star Fox,Doubleday,
1965,Philip K. Dick,The Three Stigmata of Palmer Eldritch,Doubleday,
1966,Samuel R. Delany*,Babel-17,Ace Books,
1966,Daniel Keyes*,Flowers for Algernon,Harcourt,
1966,Robert A. Heinlein,The Moon Is a Harsh Mistress,Putnam Publishing Group,
1967,Samuel R. Delany*,The Einstein Intersection,Ace Books,
1967,Piers Anthony,Chthon,Ballantine Books,
1967,Hayden Howard,The Eskimo Invasion,Ballantine Books,
1967,Roger Zelazny,Lord of Light,Doubleday,
1967,Robert Silverberg,Thorns,Ballantine Books,
1968,Alexei Panshin*,Rite of Passage,Ace Books,
1968,James Blish,Black Easter,Doubleday,
1968,Philip K. Dick,Do Androids Dream of Electric Sheep?,Doubleday,
1968,Robert Silverberg,The Masks of Time,Ballantine Books,
1968,R. A. Lafferty,Past Master,Ace Books,
1968,Joanna Russ,Picnic on Paradise,Ace Books,
1968,John Brunner,Stand on Zanzibar,Doubleday,
1969,Ursula K. Le Guin*,The Left Hand of Darkness,Ace Books,
1969,Norman Spinrad,Bug Jack Barron,Avon,
1969,Roger Zelazny,Isle of the Dead,Ace Books,
1969,John Brunner,The Jagged Orbit,Ace Books,
1969,Kurt Vonnegut,Slaughterhouse-Five,Delacorte Press,
1969,Robert Silverberg,Up the Line,Ballantine Books,
1970,Larry Niven*,Ringworld,Ballantine Books,
1970,Joanna Russ,And Chaos Died,Ace Books,
1970,R. A. Lafferty,Fourth Mansions,Ace Books,
1970,David G. Compton,The Steel Crocodile,Ace Books,
1970,Robert Silverberg,Tower of Glass,Charles Scribner's Sons,
1970,Wilson Tucker,The Year of the Quiet Sun,Ace Books,
1971,Robert Silverberg*,A Time of Changes,Galaxy Science Fiction,
1971,Poul Anderson,The Byworlder,Fantastic,
1971,R. A. Lafferty,The Devil is Dead,Avon Publications,
1971,T. J. Bass,Half Past Human,Ballantine Books,
1971,Ursula K. Le Guin,The Lathe of Heaven,Amazing Stories,
1971,Kate Wilhelm,Margaret and I,"Little, Brown and Company",
1972,Isaac Asimov*,The Gods Themselves,Galaxy Science Fiction,
1972,Robert Silverberg,The Book of Skulls,Charles Scribner's Sons,
1972,Robert Silverberg,Dying Inside,Galaxy Science Fiction,
